time [s],current,current2,servo1.currentSetpoint,servo1.pid_current.output,setpwm,
8.24,4,0,0,0,0,
8.26,-6,0,0,0,0,
8.28,-4,0,0,0,0,
8.3,-1,0,0,0,0,
8.32,-1,0,0,0,0,
8.34,0,0,0,0,0,
8.36,-1,0,0,0,0,
8.38,-11,0,0,0,0,
8.4,-12,0,0,0,0,
8.42,-5,0,0,0,0,
8.44,1,0,0,0,0,
8.46,-8,0,0,0,0,
8.48,-15,0,0,0,0,
8.5,-7,0,0,0,0,
8.52,-6,0,0,0,0,
8.54,-4,0,0,0,0,
8.56,-61,0,0,0,0,
8.58,-15,0,0,0,0,
8.6,4,0,0,0,0,
8.62,-22,0,0,0,0,
8.64,7,0,0,0,0,
8.66,1,0,0,0,0,
8.68,-21,0,0,0,0,
8.7,-18,0,0,0,0,
8.72,-3,0,0,0,0,
8.74,8,0,0,0,0,
8.76,-14,0,0,0,0,
8.78,-7,0,0,0,0,
8.8,-14,0,0,0,0,
8.82,-12,0,0,0,0,
8.84,-5,0,0,0,0,
8.86,-10,0,0,0,0,
8.88,-10,0,0,0,0,
8.9,2,0,0,0,0,
8.92,5,0,0,0,0,
8.94,2,0,0,0,0,
8.96,-6,0,0,0,0,
8.98,-14,0,0,0,0,
9,-6,0,0,0,0,
9.02,-12,0,0,0,0,
9.04,-6,0,0,0,0,
9.06,-3,0,0,0,0,
9.08,-4,0,0,0,0,
9.1,-5,0,0,0,0,
9.12,-9,0,0,0,0,
9.14,1,0,0,0,0,
9.16,3,0,0,0,0,
9.18,-9,0,0,0,0,
9.2,-5,0,0,0,0,
9.22,-11,0,0,0,0,
9.24,-19,0,0,0,0,
9.26,-2,0,0,0,0,
9.28,5,0,0,0,0,
9.3,-5,0,0,0,0,
9.32,-3,0,0,0,0,
9.34,0,0,0,0,0,
9.36,-11,0,0,0,0,
9.38,-1,0,0,0,0,
9.4,-7,0,0,0,0,
9.42,0,0,0,0,0,
9.44,-13,0,0,0,0,
9.46,0,0,0,0,0,
9.48,-5,0,0,0,0,
9.5,4,0,0,0,0,
9.52,-17,0,0,0,0,
9.54,-13,0,0,0,0,
9.56,-1,0,0,0,0,
9.58,-17,0,0,0,0,
9.6,4,0,0,0,0,
9.62,5,0,0,0,0,
9.64,-9,0,0,0,0,
9.66,3,0,0,0,0,
9.68,-14,0,0,0,0,
9.7,-1,0,0,0,0,
9.72,5,0,0,0,0,
9.74,-7,0,0,0,0,
9.76,0,0,0,0,0,
9.78,-11,0,0,0,0,
9.8,-3,0,0,0,0,
