time [s], current1, filt,current1_filtered,
5.19,0.172614,9.80909e-45,0.174491,
5.2,0.0984923,2.24208e-44,0.0984923,
5.21,0.149117,4.62428e-44,0.14999,
5.22,0.173551,5.60519e-45,0.178276,
5.23,0.167964,3.22299e-44,0.167964,
5.24,0.138004,3.78351e-44,0.143081,
5.25,0.156167,5.60519e-45,0.156167,
5.26,0.121733,2.38221e-44,0.122523,
5.27,0.12411,1.4013e-45,0.12411,
5.28,0.090142,1.54143e-44,0.090142,
5.29,0.109437,3.08286e-44,0.112451,
5.3,0.0881108,3.92364e-44,0.0915087,
5.31,0.0532701,1.12104e-44,0.0575749,
5.32,0.0620399,4.06377e-44,0.0626093,
5.33,0.0874387,1.54143e-44,0.0887853,
5.34,0.0841159,4.06377e-44,0.0847755,
5.35,0.0702394,0,0.0702394,
5.36,0.0763966,1.4013e-44,0.0776581,
5.37,0.0867691,2.8026e-44,0.0956688,
5.38,0.0984923,3.92364e-44,0.0992045,
5.39,0.0874387,0,0.0881108,
5.4,0.0666652,2.8026e-44,0.0666652,
5.41,0.0476127,4.48416e-44,0.0394655,
5.42,0.0196975,1.54143e-44,0.0196975,
5.43,0.0456306,3.08286e-44,0.0481145,
5.44,0.0491256,4.76441e-44,0.0461224,
5.45,0.0328777,2.24208e-44,0.0341502,
5.46,0.0399247,4.76441e-44,0.0376536,
5.47,0.0354452,1.68156e-44,0.0354452,
5.48,0.0363211,4.48416e-44,0.0358819,
5.49,0.0381028,4.2039e-45,0.0390088,
5.5,0.0403864,2.8026e-44,0.0413174,
5.51,0.0394655,0,0.0394655,
5.52,0.0390088,1.82169e-44,0.0403864,
5.53,0.0408506,4.06377e-44,0.0413174,
5.54,0.0249705,4.62428e-44,0.0220881,
5.55,0.0422583,7.00649e-45,0.0456306,
5.56,0.0358819,3.22299e-44,0.0385545,
5.57,0.0268534,4.2039e-44,0.0276241,
5.58,0.0345794,1.12104e-44,0.0385545,
5.59,0.0461224,2.38221e-44,0.0476127,
5.6,0.0227937,3.92364e-44,0.0227937,
5.61,0.0276241,1.68156e-44,0.0284048,
5.62,0.0451413,2.8026e-44,0.0466166,
5.63,0.0436886,4.48416e-44,0.0441703,
5.64,0.0381028,1.26117e-44,0.0413174,
5.65,0.0527433,3.50325e-44,0.0537994,
5.66,0.0527433,4.76441e-44,0.0527433,
5.67,0.0417866,1.68156e-44,0.0427326,
5.68,0.0708438,4.2039e-44,0.0714508,
5.69,0.0554024,5.60519e-45,0.0559418,
5.7,0.0808557,2.24208e-44,0.0861021,
5.71,0.0942721,1.4013e-45,0.0963709,
5.72,0.0999191,2.10195e-44,0.100636,
5.73,0.0828043,4.76441e-44,0.0841159,
5.74,0.0828043,1.26117e-44,0.0847755,
5.75,0.0597874,1.26117e-44,0.0603467,
5.76,0.113211,2.52234e-44,0.114738,
5.77,0.183064,2.8026e-45,0.183064,
