time [s],adc[0],current,servo1.currentSetpoint,setpwm,
10.9555,973,0,0,500,
10.9598,979,0,0,500,
10.9637,961,0,0,500,
10.9671,991,0,0,500,
10.9706,969,0,0,500,
10.9742,985,0,0,500,
10.9777,992,0,0,500,
10.9812,983,0,0,500,
10.9847,988,0,0,500,
10.9881,981,0,0,500,
10.992,981,0,0,500,
10.9958,989,0,0,500,
10.9992,975,0,0,500,
11.0027,980,0,0,500,
11.0062,989,0,0,500,
11.0101,967,0,0,500,
11.0138,982,0,0,500,
11.0172,980,0,0,500,
11.0207,991,0,0,500,
11.0247,991,0,0,500,
11.0292,958,0,0,500,
11.0327,985,0,0,500,
11.036,990,0,0,500,
11.0399,988,0,0,500,
11.0434,999,0,0,500,
11.047,976,0,0,500,
11.0505,996,0,0,500,
11.0543,959,0,0,500,
11.0581,980,0,0,500,
11.0619,976,0,0,500,
11.0654,989,0,0,500,
11.069,992,0,0,500,
11.0724,969,0,0,500,
11.0759,983,0,0,500,
11.0795,965,0,0,500,
11.083,964,0,0,500,
11.0865,994,0,0,500,
11.0903,993,0,0,500,
11.0941,998,0,0,500,
11.0976,980,0,0,500,
11.1012,978,0,0,500,
11.1045,981,0,0,500,
11.1081,983,0,0,500,
11.1117,975,0,0,500,
11.1161,991,0,0,500,
11.1198,959,0,0,500,
11.1236,976,0,0,500,
11.1274,973,0,0,500,
11.1312,970,0,0,500,
11.1348,973,0,0,500,
11.1383,973,0,0,500,
11.142,988,0,0,500,
11.1458,973,0,0,500,
11.1493,980,0,0,500,
11.1527,983,0,0,500,
11.1561,972,0,0,500,
11.1601,974,0,0,500,
11.1638,976,0,0,500,
11.1672,949,0,0,500,
11.1705,971,0,0,500,
11.1742,967,0,0,500,
11.1777,988,0,0,500,
11.1811,989,0,0,500,
11.1845,976,0,0,500,
11.1879,976,0,0,500,
11.1919,976,0,0,500,
11.1957,979,0,0,500,
11.1992,973,0,0,500,
11.2025,971,0,0,500,
11.2063,973,0,0,500,
11.2098,955,0,0,500,
11.2133,1038,0,0,500,
11.2167,1016,0,0,500,
11.22,893,0,0,500,
11.2241,857,0,0,500,
11.2279,854,0,0,500,
11.2314,863,0,0,500,
11.2348,810,0,0,500,
11.2384,891,0,0,500,
11.242,908,0,0,500,
11.2454,949,0,0,500,
11.249,949,0,0,500,
11.2526,932,0,0,500,
11.2562,923,0,0,500,
11.2602,932,0,0,500,
11.2637,935,0,0,500,
11.2671,944,0,0,500,
11.2707,919,0,0,500,
11.2742,943,0,0,500,
11.2777,931,0,0,500,
11.2812,927,0,0,500,
11.2847,913,0,0,500,
11.2881,919,0,0,500,
11.2922,927,0,0,500,
11.2957,939,0,0,500,
11.2994,929,0,0,500,
11.303,917,0,0,500,
11.3067,907,0,0,500,
11.3102,923,0,0,500,
11.3136,928,0,0,500,
11.3172,928,0,0,500,
11.3206,925,0,0,500,
11.3246,930,0,0,500,
11.3284,937,0,0,500,
11.3322,928,0,0,500,
11.3357,931,0,0,500,
11.3391,935,0,0,500,
11.3427,939,0,0,500,
11.3464,933,0,0,500,
11.3498,933,0,0,500,
11.3532,955,0,0,500,
11.3569,948,0,0,500,
11.3607,950,0,0,500,
11.364,949,0,0,500,
11.3673,939,0,0,500,
11.3707,939,0,0,500,
11.3741,925,0,0,500,
11.378,917,0,0,500,
11.3815,925,0,0,500,
11.3849,926,0,0,500,
11.3888,927,0,0,500,
11.3929,917,0,0,500,
11.3964,956,0,0,500,
11.3999,919,0,0,500,
11.4033,915,0,0,500,
11.4071,949,0,0,500,
11.4109,949,0,0,500,
11.4144,949,0,0,500,
11.4177,915,0,0,500,
11.4212,935,0,0,500,
11.4254,935,0,0,500,
11.4289,938,0,0,500,
11.4324,951,0,0,500,
11.4357,935,0,0,500,
11.4397,935,0,0,500,
11.4432,936,0,0,500,
11.4467,915,0,0,500,
11.4501,938,0,0,500,
11.4537,940,0,0,500,
11.4575,951,0,0,500,
11.4611,927,0,0,500,
11.4646,947,0,0,500,
11.4681,915,0,0,500,
11.4718,949,0,0,500,
11.4753,934,0,0,500,
11.4787,930,0,0,500,
11.4821,934,0,0,500,
11.4857,930,0,0,500,
