time [s],adc1_ema,adc1_med,adc[0],servo1.encoder.angle,servo1.encoder.angularVelocity,servo1.positionSetpoint,
1.71,0,0,0,3.9472e+06,0,3.93216e+06,
1.72,0,0,0,3.9472e+06,0,3.93216e+06,
1.73,0,0,0,3.9472e+06,0,3.93216e+06,
1.74017,0,0,0,3.9472e+06,0,3.93216e+06,
1.75,0,0,0,3.9472e+06,0,3.93216e+06,
1.76,0,0,0,3.9472e+06,0,3.93216e+06,
1.77,0,0,0,3.9472e+06,0,3.93216e+06,
1.78,0,0,0,3.9472e+06,0,3.93216e+06,
1.79,0,0,0,3.9472e+06,0,3.93216e+06,
1.8,0,0,0,3.9472e+06,0,3.93216e+06,
1.81,0,0,0,3.9472e+06,0,3.93216e+06,
1.82,0,0,0,3.9472e+06,0,3.93216e+06,
1.83,0,0,0,3.9472e+06,0,3.93216e+06,
1.84,0,0,0,3.9472e+06,0,3.93216e+06,
1.85,0,0,0,3.9472e+06,0,3.93216e+06,
1.86013,0,0,0,3.9472e+06,0,3.93216e+06,
1.87,0,0,0,3.9472e+06,0,3.93216e+06,
1.88,0,0,0,3.9472e+06,0,3.93216e+06,
1.89,0,0,0,3.9472e+06,0,3.93216e+06,
1.9,0,0,0,3.9472e+06,0,3.93216e+06,
1.91,0,0,0,3.9472e+06,0,3.93216e+06,
1.92,0,0,0,3.9472e+06,0,3.93216e+06,
1.93,0,0,0,3.9472e+06,0,3.93216e+06,
1.94,0,0,0,3.9472e+06,0,3.93216e+06,
1.95,0,0,0,3.9472e+06,0,3.93216e+06,
1.96001,0,0,0,3.9472e+06,0,3.93216e+06,
1.97,0,0,0,3.9472e+06,0,3.93216e+06,
1.98,0,0,0,3.9472e+06,0,3.93216e+06,
1.99,0,0,0,3.9472e+06,0,3.93216e+06,
2,0,0,0,3.9472e+06,0,3.93216e+06,
2.01,0,0,0,3.9472e+06,0,3.93216e+06,
2.02011,0,0,0,3.9472e+06,0,3.93216e+06,
2.03,0,0,0,3.9472e+06,0,3.93216e+06,
2.04,0,0,0,3.9472e+06,0,3.93216e+06,
2.05,0,0,0,3.9472e+06,0,3.93216e+06,
2.06007,0,0,0,3.9472e+06,0,3.93216e+06,
2.07,0,0,0,3.9472e+06,0,3.93216e+06,
2.08,0,0,0,3.9472e+06,0,3.93216e+06,
2.09,0,0,0,3.9472e+06,0,3.93216e+06,
2.10011,0,0,0,3.9472e+06,0,3.93216e+06,
2.11,0,0,0,3.9472e+06,0,3.93216e+06,
2.12,0,0,0,3.9472e+06,0,3.93216e+06,
2.13,0,0,0,3.9472e+06,0,3.93216e+06,
2.1401,0,0,0,3.9472e+06,0,3.93216e+06,
2.15,0,0,0,3.9472e+06,0,3.93216e+06,
2.16,0,0,0,3.9472e+06,0,3.93216e+06,
2.17,0,0,0,3.95247e+06,0,6.5536e+06,
2.18008,0,0,0,3.97708e+06,0,6.5536e+06,
2.19,0,0,0,3.99113e+06,0,6.5536e+06,
2.2,0,0,0,3.99992e+06,0,6.5536e+06,
2.21,0,0,0,4.02276e+06,0,6.5536e+06,
2.22,0,0,0,4.03858e+06,0,6.5536e+06,
2.23,0,0,0,4.04913e+06,0,6.5536e+06,
2.24,0,0,0,4.07021e+06,0,6.5536e+06,
2.25,0,0,0,4.08427e+06,0,6.5536e+06,
2.26,0,0,0,4.10185e+06,0,6.5536e+06,
2.27,0,0,0,4.12469e+06,0,6.5536e+06,
2.28,0,0,0,4.15457e+06,0,6.5536e+06,
2.29,0,0,0,4.18972e+06,0,6.5536e+06,
2.3001,0,0,0,4.22838e+06,0,6.5536e+06,
2.31,0,0,0,4.27408e+06,0,6.5536e+06,
2.32,0,0,0,4.31977e+06,0,6.5536e+06,
2.33,0,0,0,4.3725e+06,0,6.5536e+06,
2.34008,0,0,0,4.4217e+06,0,6.5536e+06,
2.35,0,0,0,4.47794e+06,0,6.5536e+06,
2.36,0,0,0,4.53418e+06,0,6.5536e+06,
2.37,0,0,0,4.59042e+06,0,6.5536e+06,
2.38008,0,0,0,4.64841e+06,0,6.5536e+06,
2.39,0,0,0,4.7064e+06,0,6.5536e+06,
2.4,0,0,0,4.76616e+06,0,6.5536e+06,
2.41,0,0,0,4.82416e+06,0,6.5536e+06,
2.4201,0,0,0,4.88215e+06,0,6.5536e+06,
2.43,0,0,0,4.93838e+06,0,6.5536e+06,
2.44,0,0,0,4.99638e+06,0,6.5536e+06,
2.45,0,0,0,5.05262e+06,0,6.5536e+06,
2.4601,0,0,0,5.1071e+06,0,6.5536e+06,
2.47,0,0,0,5.16334e+06,0,6.5536e+06,
2.48,0,0,0,5.20903e+06,0,6.5536e+06,
2.49002,0,0,0,5.25297e+06,0,6.5536e+06,
2.50005,0,0,0,5.2969e+06,0,6.5536e+06,
2.51,0,0,0,5.34259e+06,0,6.5536e+06,
2.52,0,0,0,5.38302e+06,0,6.5536e+06,
2.53,0,0,0,5.42168e+06,0,6.5536e+06,
2.54008,0,0,0,5.46035e+06,0,6.5536e+06,
2.55,0,0,0,5.49901e+06,0,6.5536e+06,
2.56,0,0,0,5.53592e+06,0,6.5536e+06,
2.57,0,0,0,5.56579e+06,0,6.5536e+06,
2.58011,0,0,0,5.59743e+06,0,6.5536e+06,
2.59,0,0,0,5.62906e+06,0,6.5536e+06,
2.6,0,0,0,5.65717e+06,0,6.5536e+06,
2.61,0,0,0,5.68354e+06,0,6.5536e+06,
2.62,0,0,0,5.71342e+06,0,6.5536e+06,
2.63,0,0,0,5.73802e+06,0,6.5536e+06,
2.64,0,0,0,5.76086e+06,0,6.5536e+06,
2.65,0,0,0,5.78723e+06,0,6.5536e+06,
2.66026,0,0,0,5.80832e+06,0,6.5536e+06,
2.67,0,0,0,5.82941e+06,0,6.5536e+06,
2.68,0,0,0,5.8505e+06,0,6.5536e+06,
2.69,0,0,0,5.87334e+06,0,6.5536e+06,
2.70007,0,0,0,5.89619e+06,0,6.5536e+06,
2.71,0,0,0,5.91728e+06,0,6.5536e+06,
2.72,0,0,0,5.94188e+06,0,6.5536e+06,
2.73,0,0,0,5.96297e+06,0,6.5536e+06,
2.74007,0,0,0,5.98406e+06,0,6.5536e+06,
2.75004,0,0,0,6.00515e+06,0,6.5536e+06,
2.76,0,0,0,6.02624e+06,0,6.5536e+06,
2.77,0,0,0,6.04733e+06,0,6.5536e+06,
2.78009,0,0,0,6.0649e+06,0,6.5536e+06,
2.79,0,0,0,6.08424e+06,0,6.5536e+06,
2.8,0,0,0,6.09829e+06,0,6.5536e+06,
2.81,0,0,0,6.11938e+06,0,6.5536e+06,
2.82,0,0,0,6.13169e+06,0,6.5536e+06,
2.83,0,0,0,6.14399e+06,0,6.5536e+06,
2.84,0,0,0,6.15629e+06,0,6.5536e+06,
2.85,0,0,0,6.16859e+06,0,6.5536e+06,
2.86008,0,0,0,6.18265e+06,0,6.5536e+06,
2.87,0,0,0,6.19495e+06,0,6.5536e+06,
2.88,0,0,0,6.20901e+06,0,6.5536e+06,
2.89,0,0,0,6.22307e+06,0,6.5536e+06,
2.9,0,0,0,6.23537e+06,0,6.5536e+06,
2.91,0,0,0,6.24943e+06,0,6.5536e+06,
2.92,0,0,0,6.2635e+06,0,6.5536e+06,
2.93,0,0,0,6.27755e+06,0,6.5536e+06,
2.94007,0,0,0,6.28809e+06,0,6.5536e+06,
2.95,0,0,0,6.30216e+06,0,6.5536e+06,
2.96003,0,0,0,6.3127e+06,0,6.5536e+06,
2.97,0,0,0,6.31973e+06,0,6.5536e+06,
2.98,0,0,0,6.33379e+06,0,6.5536e+06,
2.99,0,0,0,6.34082e+06,0,6.5536e+06,
3,0,0,0,6.34785e+06,0,6.5536e+06,
3.01,0,0,0,6.35488e+06,0,6.5536e+06,
3.02,0,0,0,6.36191e+06,0,6.5536e+06,
3.03,0,0,0,6.3707e+06,0,6.5536e+06,
3.04,0,0,0,6.37772e+06,0,6.5536e+06,
3.05,0,0,0,6.38475e+06,0,6.5536e+06,
3.06,0,0,0,6.39178e+06,0,6.5536e+06,
3.07,0,0,0,6.40058e+06,0,6.5536e+06,
3.08,0,0,0,6.40936e+06,0,6.5536e+06,
3.09,0,0,0,6.41463e+06,0,6.5536e+06,
3.10006,0,0,0,6.4199e+06,0,6.5536e+06,
3.11,0,0,0,6.42693e+06,0,6.5536e+06,
3.12,0,0,0,6.4322e+06,0,6.5536e+06,
3.13016,0,0,0,6.43748e+06,0,6.5536e+06,
3.14011,0,0,0,6.44099e+06,0,6.5536e+06,
3.15,0,0,0,6.44627e+06,0,6.5536e+06,
3.16,0,0,0,6.45154e+06,0,6.5536e+06,
3.17,0,0,0,6.4533e+06,0,6.5536e+06,
3.18008,0,0,0,6.46208e+06,0,6.5536e+06,
3.19,0,0,0,6.46735e+06,0,6.5536e+06,
3.20005,0,0,0,6.47438e+06,0,6.5536e+06,
3.21,0,0,0,6.47966e+06,0,6.5536e+06,
3.22006,0,0,0,6.48141e+06,0,6.5536e+06,
3.23,0,0,0,6.4902e+06,0,6.5536e+06,
3.24,0,0,0,6.49548e+06,0,6.5536e+06,
3.25,0,0,0,6.49899e+06,0,6.5536e+06,
3.26007,0,0,0,6.5025e+06,0,6.5536e+06,
3.27,0,0,0,6.5025e+06,0,6.5536e+06,
3.28,0,0,0,6.5025e+06,0,6.5536e+06,
3.29,0,0,0,6.5025e+06,0,6.5536e+06,
3.3,0,0,0,6.5025e+06,0,6.5536e+06,
3.31,0,0,0,6.5025e+06,0,6.5536e+06,
3.32,0,0,0,6.5025e+06,0,6.5536e+06,
3.33,0,0,0,6.5025e+06,0,6.5536e+06,
3.3401,0,0,0,6.5025e+06,0,6.5536e+06,
3.35,0,0,0,6.5025e+06,0,6.5536e+06,
3.36,0,0,0,6.5025e+06,0,6.5536e+06,
3.37,0,0,0,6.5025e+06,0,6.5536e+06,
3.38008,0,0,0,6.5025e+06,0,6.5536e+06,
3.39,0,0,0,6.5025e+06,0,6.5536e+06,
3.4,0,0,0,6.5025e+06,0,6.5536e+06,
3.41,0,0,0,6.5025e+06,0,6.5536e+06,
3.42007,0,0,0,6.5025e+06,0,6.5536e+06,
3.43,0,0,0,6.5025e+06,0,6.5536e+06,
3.44,0,0,0,6.5025e+06,0,6.5536e+06,
3.45,0,0,0,6.5025e+06,0,6.5536e+06,
3.46,0,0,0,6.5025e+06,0,6.5536e+06,
3.47,0,0,0,6.5025e+06,0,6.5536e+06,
3.48,0,0,0,6.5025e+06,0,6.5536e+06,
3.49,0,0,0,6.5025e+06,0,6.5536e+06,
3.5,0,0,0,6.5025e+06,0,6.5536e+06,
3.51,0,0,0,6.5025e+06,0,6.5536e+06,
3.52,0,0,0,6.5025e+06,0,6.5536e+06,
3.53,0,0,0,6.5025e+06,0,6.5536e+06,
3.54,0,0,0,6.5025e+06,0,6.5536e+06,
3.55,0,0,0,6.5025e+06,0,6.5536e+06,
3.56,0,0,0,6.5025e+06,0,6.5536e+06,
3.57,0,0,0,6.5025e+06,0,6.5536e+06,
3.58008,0,0,0,6.5025e+06,0,6.5536e+06,
3.59,0,0,0,6.5025e+06,0,6.5536e+06,
3.6,0,0,0,6.5025e+06,0,6.5536e+06,
3.61,0,0,0,6.5025e+06,0,6.5536e+06,
3.62011,0,0,0,6.5025e+06,0,6.5536e+06,
3.63,0,0,0,6.5025e+06,0,6.5536e+06,
3.64,0,0,0,6.5025e+06,0,6.5536e+06,
3.65,0,0,0,6.5025e+06,0,6.5536e+06,
3.6601,0,0,0,6.5025e+06,0,6.5536e+06,
3.67,0,0,0,6.5025e+06,0,6.5536e+06,
3.68,0,0,0,6.5025e+06,0,6.5536e+06,
3.69,0,0,0,6.5025e+06,0,6.5536e+06,
3.7,0,0,0,6.5025e+06,0,6.5536e+06,
3.71,0,0,0,6.5025e+06,0,6.5536e+06,
3.72,0,0,0,6.5025e+06,0,6.5536e+06,
3.73,0,0,0,6.5025e+06,0,6.5536e+06,
3.74007,0,0,0,6.5025e+06,0,6.5536e+06,
3.75,0,0,0,6.5025e+06,0,6.5536e+06,
3.76,0,0,0,6.5025e+06,0,6.5536e+06,
3.77,0,0,0,6.5025e+06,0,6.5536e+06,
3.78032,0,0,0,6.5025e+06,0,6.5536e+06,
3.79,0,0,0,6.5025e+06,0,6.5536e+06,
3.8,0,0,0,6.5025e+06,0,6.5536e+06,
3.81,0,0,0,6.5025e+06,0,6.5536e+06,
3.82,0,0,0,6.5025e+06,0,6.5536e+06,
3.83,0,0,0,6.5025e+06,0,6.5536e+06,
3.84002,0,0,0,6.5025e+06,0,6.5536e+06,
3.85,0,0,0,6.5025e+06,0,6.5536e+06,
3.8601,0,0,0,6.5025e+06,0,6.5536e+06,
3.87,0,0,0,6.5025e+06,0,6.5536e+06,
3.88,0,0,0,6.5025e+06,0,6.5536e+06,
3.89,0,0,0,6.5025e+06,0,6.5536e+06,
3.90008,0,0,0,6.5025e+06,0,6.5536e+06,
3.91,0,0,0,6.5025e+06,0,6.5536e+06,
3.92,0,0,0,6.5025e+06,0,6.5536e+06,
3.93,0,0,0,6.5025e+06,0,6.5536e+06,
3.94009,0,0,0,6.5025e+06,0,6.5536e+06,
3.95,0,0,0,6.5025e+06,0,6.5536e+06,
3.96,0,0,0,6.5025e+06,0,6.5536e+06,
3.97,0,0,0,6.5025e+06,0,6.5536e+06,
3.9801,0,0,0,6.5025e+06,0,6.5536e+06,
3.99,0,0,0,6.5025e+06,0,6.5536e+06,
4,0,0,0,6.5025e+06,0,6.5536e+06,
4.01,0,0,0,6.5025e+06,0,6.5536e+06,
4.02006,0,0,0,6.5025e+06,0,6.5536e+06,
4.03,0,0,0,6.5025e+06,0,6.5536e+06,
4.04,0,0,0,6.5025e+06,0,6.5536e+06,
4.05,0,0,0,6.5025e+06,0,6.5536e+06,
4.06009,0,0,0,6.5025e+06,0,6.5536e+06,
4.07,0,0,0,6.5025e+06,0,6.5536e+06,
4.08,0,0,0,6.5025e+06,0,6.5536e+06,
4.09,0,0,0,6.5025e+06,0,6.5536e+06,
4.10007,0,0,0,6.5025e+06,0,6.5536e+06,
4.11,0,0,0,6.5025e+06,0,6.5536e+06,
4.12,0,0,0,6.5025e+06,0,6.5536e+06,
4.13,0,0,0,6.5025e+06,0,6.5536e+06,
4.14,0,0,0,6.5025e+06,0,6.5536e+06,
4.15,0,0,0,6.5025e+06,0,6.5536e+06,
4.16,0,0,0,6.5025e+06,0,6.5536e+06,
4.17,0,0,0,6.5025e+06,0,6.5536e+06,
4.18009,0,0,0,6.5025e+06,0,6.5536e+06,
4.19,0,0,0,6.5025e+06,0,6.5536e+06,
4.2,0,0,0,6.5025e+06,0,6.5536e+06,
4.21,0,0,0,6.5025e+06,0,6.5536e+06,
4.22,0,0,0,6.5025e+06,0,6.5536e+06,
4.23,0,0,0,6.5025e+06,0,6.5536e+06,
4.24,0,0,0,6.5025e+06,0,6.5536e+06,
4.25,0,0,0,6.5025e+06,0,6.5536e+06,
4.26006,0,0,0,6.5025e+06,0,6.5536e+06,
4.27,0,0,0,6.5025e+06,0,6.5536e+06,
4.28,0,0,0,6.5025e+06,0,6.5536e+06,
4.29,0,0,0,6.5025e+06,0,6.5536e+06,
4.30008,0,0,0,6.5025e+06,0,6.5536e+06,
4.31,0,0,0,6.5025e+06,0,6.5536e+06,
4.32,0,0,0,6.5025e+06,0,6.5536e+06,
4.33,0,0,0,6.5025e+06,0,6.5536e+06,
4.34008,0,0,0,6.5025e+06,0,6.5536e+06,
4.35,0,0,0,6.5025e+06,0,6.5536e+06,
4.36,0,0,0,6.5025e+06,0,6.5536e+06,
4.37,0,0,0,6.5025e+06,0,6.5536e+06,
4.38007,0,0,0,6.5025e+06,0,6.5536e+06,
4.39,0,0,0,6.5025e+06,0,6.5536e+06,
4.4,0,0,0,6.5025e+06,0,6.5536e+06,
4.41,0,0,0,6.5025e+06,0,6.5536e+06,
4.42009,0,0,0,6.5025e+06,0,6.5536e+06,
4.43,0,0,0,6.5025e+06,0,6.5536e+06,
4.44,0,0,0,6.5025e+06,0,6.5536e+06,
4.45,0,0,0,6.5025e+06,0,6.5536e+06,
4.46006,0,0,0,6.5025e+06,0,6.5536e+06,
4.47,0,0,0,6.5025e+06,0,6.5536e+06,
4.48,0,0,0,6.5025e+06,0,6.5536e+06,
4.49,0,0,0,6.5025e+06,0,6.5536e+06,
4.50008,0,0,0,6.5025e+06,0,6.5536e+06,
4.51,0,0,0,6.5025e+06,0,6.5536e+06,
4.52,0,0,0,6.5025e+06,0,6.5536e+06,
4.53,0,0,0,6.5025e+06,0,6.5536e+06,
4.54,0,0,0,6.5025e+06,0,6.5536e+06,
4.55,0,0,0,6.5025e+06,0,6.5536e+06,
4.56,0,0,0,6.5025e+06,0,6.5536e+06,
4.57,0,0,0,6.5025e+06,0,6.5536e+06,
4.58009,0,0,0,6.5025e+06,0,6.5536e+06,
4.59,0,0,0,6.5025e+06,0,6.5536e+06,
4.6,0,0,0,6.5025e+06,0,6.5536e+06,
4.61006,0,0,0,6.5025e+06,0,6.5536e+06,
4.62009,0,0,0,6.5025e+06,0,6.5536e+06,
4.63,0,0,0,6.5025e+06,0,6.5536e+06,
4.64,0,0,0,6.5025e+06,0,6.5536e+06,
4.65,0,0,0,6.5025e+06,0,6.5536e+06,
4.6601,0,0,0,6.5025e+06,0,6.5536e+06,
4.67007,0,0,0,6.5025e+06,0,6.5536e+06,
4.68,0,0,0,6.5025e+06,0,6.5536e+06,
4.69,0,0,0,6.5025e+06,0,6.5536e+06,
4.70006,0,0,0,6.5025e+06,0,6.5536e+06,
