time [s], adc1, current1, current1_filtered, filt, voltage,
0.305233,129,0.00958484,0.0083906,0.00815555,0.0307617,
0.306568,127,0.00862444,0.00815926,0.00822948,0.0307617,
0.307926,127,0.0077041,0.00793043,0.0080834,0.0302734,
0.309358,129,0.00815926,0.00815926,0.00799015,0.0297852,
0.310711,129,0.00815926,0.00815926,0.00807837,0.029541,
0.312054,119,0.00958484,0.00815926,0.00814075,0.0285645,
0.313382,128,0.00958484,0.00815926,0.00815676,0.0283203,
0.314718,128,0.0077041,0.00815926,0.00815847,0.0275879,
0.316078,129,0.00748027,0.00815926,0.00815892,0.0266113,
0.317444,125,0.0083906,0.0083906,0.0082539,0.0178223,
0.319176,128,0.00934098,0.00815926,0.00827306,0.0153809,
0.320887,128,0.00793043,0.00793043,0.0081127,0.0146484,
0.322365,128,0.0083906,0.00793043,0.00801761,0.0144043,
0.324055,128,0.0083906,0.00815926,0.00808021,0.0141602,
0.32542,123,0.00815926,0.00815926,0.00813693,0.0153809,
0.32686,129,0.00748027,0.00815926,0.00820889,0.0148926,
0.328191,123,0.00725895,0.00793043,0.00810986,0.0153809,
0.329523,128,0.00598362,0.0077041,0.00795694,0.0153809,
0.330859,128,0.00815926,0.00815926,0.00796472,0.0153809,
0.332192,128,0.00815926,0.00815926,0.00809821,0.0153809,
0.333528,128,0.00704014,0.00815926,0.00817258,0.0178223,
0.334883,128,0.00886078,0.00793043,0.00805451,0.0192871,
0.336304,127,0.00934098,0.00793043,0.00791379,0.0195312,
0.337714,124,0.00618992,0.00815926,0.0080312,0.0178223,
0.339056,128,0.00682383,0.00815926,0.00812996,0.0161133,
0.340479,128,0.00682383,0.00815926,0.00816497,0.017334,
0.341865,129,0.00886078,0.00793043,0.00813799,0.0175781,
0.343206,123,0.0083906,0.00815926,0.00805259,0.0187988,
0.344548,128,0.00886078,0.00815926,0.00811793,0.017334,
0.345883,128,0.00748027,0.0083906,0.00829943,0.0178223,
0.347224,126,0.00598362,0.00815926,0.00833296,0.0205078,
0.348595,127,0.00725895,0.00793043,0.00808893,0.0222168,
0.350027,123,0.0077041,0.00815926,0.00811122,0.0231934,
0.351415,128,0.00862444,0.0083906,0.00828876,0.0229492,
0.353152,130,0.0083906,0.00815926,0.00836837,0.0236816,
0.354686,128,0.00704014,0.00815926,0.00822488,0.0229492,
0.356167,128,0.00862444,0.00815926,0.00811668,0.0234375,
0.357564,127,0.00815926,0.00815926,0.00814441,0.0227051,
0.359106,123,0.00862444,0.0083906,0.00834021,0.0231934,
0.360586,124,0.00815926,0.0083906,0.00837907,0.0219727,
0.362027,127,0.00909963,0.0083906,0.00830024,0.0231934,
0.363364,130,0.00909963,0.0083906,0.00834738,0.0212402,
0.364694,128,0.00886078,0.00862444,0.00856293,0.0222168,
0.366034,128,0.00934098,0.0083906,0.00851461,0.0212402,
0.367368,128,0.00886078,0.0083906,0.00842951,0.0217285,
0.36886,129,0.00934098,0.0083906,0.00836865,0.0229492,
0.370243,128,0.0098312,0.00862444,0.0085367,0.0222168,
0.371662,128,0.00682383,0.00862444,0.00863494,0.0224609,
0.373087,126,0.00748027,0.00815926,0.00854731,0.0217285,
0.374471,124,0.0083906,0.0083906,0.00836059,0.0224609,
0.37586,129,0.00886078,0.00862444,0.00855077,0.0227051,
0.377188,127,0.0083906,0.00862444,0.00860758,0.0227051,
0.378559,129,0.0083906,0.00815926,0.00842378,0.0227051,
0.379972,128,0.00815926,0.00815926,0.00827313,0.0224609,
0.381368,127,0.00862444,0.00862444,0.00842648,0.0224609,
0.382706,128,0.0105853,0.00886078,0.00859775,0.0227051,
0.384057,127,0.00909963,0.00862444,0.00874799,0.0231934,
0.385578,123,0.00934098,0.0083906,0.00856357,0.0224609,
0.387255,127,0.00886078,0.00862444,0.00856774,0.0219727,
0.388746,129,0.00934098,0.00886078,0.00871541,0.0224609,
0.390099,123,0.00815926,0.00862444,0.00888235,0.0222168,
0.391478,128,0.00886078,0.0083906,0.00862495,0.0217285,
0.392866,129,0.00934098,0.0083906,0.00840979,0.0205078,
0.394206,129,0.00793043,0.00862444,0.00842142,0.0222168,
0.395553,123,0.00793043,0.00886078,0.00857728,0.0227051,
0.396896,127,0.00934098,0.00862444,0.00879593,0.020752,
0.398235,128,0.00862444,0.00862444,0.00866803,0.0202637,
0.399579,128,0.00862444,0.00862444,0.0086432,0.0219727,
0.400917,128,0.00815926,0.00862444,0.00863098,0.0217285,
0.402376,125,0.00557854,0.00886078,0.00877972,0.0212402,
0.403969,129,0.0083906,0.00862444,0.00871266,0.0224609,
0.405373,128,0.0083906,0.0083906,0.00865861,0.0231934,
0.406707,128,0.00958484,0.00862444,0.00856322,0.0227051,
0.408064,127,0.00862444,0.00886078,0.00863078,0.0205078,
0.409444,129,0.00862444,0.00886078,0.00890304,0.0222168,
0.410879,128,0.0077041,0.00862444,0.00869156,0.0222168,
0.412241,128,0.00748027,0.0083906,0.00852584,0.0217285,
0.413587,128,0.00862444,0.00862444,0.00855105,0.0219727,
0.414923,128,0.00862444,0.00909963,0.00872215,0.0224609,
0.4163,127,0.00886078,0.00886078,0.00898117,0.0214844,
0.417714,130,0.00934098,0.00862444,0.00886363,0.0229492,
0.419468,129,0.00934098,0.00886078,0.00878442,0.0202637,
0.421123,116,0.00909963,0.00909963,0.00897525,0.0219727,
0.422553,128,0.00934098,0.00909963,0.00906801,0.0212402,
0.423974,127,0.00815926,0.00909963,0.00909312,0.0214844,
0.425365,129,0.00886078,0.00886078,0.00898491,0.0219727,
0.426702,128,0.0108417,0.00886078,0.00891422,0.0229492,
0.428063,128,0.0098312,0.00909963,0.00902573,0.0217285,
0.429397,128,0.00934098,0.00909963,0.009099,0.0227051,
0.430745,123,0.0083906,0.00886078,0.00905405,0.0222168,
0.432083,128,0.0100801,0.00909963,0.00894532,0.0222168,
0.433512,123,0.0098312,0.00909963,0.00903985,0.0214844,
0.434978,129,0.0100801,0.00934098,0.00918327,0.0222168,
0.436398,124,0.00958484,0.00909963,0.0091826,0.0219727,
0.43775,127,0.0098312,0.00909963,0.00912072,0.0209961,
0.439196,127,0.00748027,0.00909963,0.00910559,0.0222168,
0.440545,128,0.00958484,0.00934098,0.00923877,0.0217285,
0.441885,128,0.00934098,0.00934098,0.009315,0.0192871,
0.443232,123,0.00725895,0.00909963,0.0091858,0.019043,
0.444581,128,0.0098312,0.00909963,0.00913672,0.0222168,
0.445974,129,0.0098312,0.00909963,0.0091156,0.0197754,
0.447373,128,0.00934098,0.00934098,0.00926975,0.0205078,
0.448864,128,0.00886078,0.00909963,0.00930055,0.0209961,
0.450239,128,0.00748027,0.00886078,0.0091507,0.0214844,
0.451809,130,0.0100801,0.00909963,0.00894266,0.0214844,
0.453525,128,0.00958484,0.00934098,0.00907194,0.0214844,
0.455035,128,0.0077041,0.00934098,0.00927943,0.0219727,
0.45642,126,0.00934098,0.00909963,0.00914458,0.0219727,
0.457863,127,0.0098312,0.00909963,0.0091153,0.0214844,
0.45922,127,0.00958484,0.00934098,0.0091705,0.0222168,
0.460597,128,0.00862444,0.00958484,0.00938151,0.0212402,
0.462033,127,0.0077041,0.00934098,0.00944355,0.0214844,
0.463387,123,0.0098312,0.00886078,0.00917756,0.0217285,
0.464864,127,0.0100801,0.00909963,0.00901229,0.0219727,
0.466215,123,0.00862444,0.00934098,0.0091488,0.0219727,
0.467555,123,0.00793043,0.00958484,0.0092867,0.0212402,
0.468977,124,0.00909963,0.00934098,0.00946473,0.0217285,
0.470369,128,0.00958484,0.00909963,0.00923848,0.0212402,
0.471743,130,0.00886078,0.00934098,0.00925823,0.0202637,
0.473096,128,0.0100801,0.00958484,0.00950582,0.0205078,
0.474477,128,0.00934098,0.00934098,0.00946489,0.0205078,
0.475875,127,0.0098312,0.00909963,0.00937598,0.0212402,
0.47725,128,0.0105853,0.00934098,0.00923221,0.0202637,
0.478598,124,0.0103314,0.00958484,0.00936914,0.0214844,
0.480042,128,0.00862444,0.00958484,0.0095355,0.0219727,
0.481436,127,0.00909963,0.00934098,0.00946235,0.0209961,
0.482864,121,0.00934098,0.00934098,0.0093833,0.0209961,
0.484249,128,0.00958484,0.00958484,0.00947,0.0212402,
0.486103,127,0.0098312,0.00958484,0.00976652,0.0214844,
0.48771,130,0.00909963,0.00934098,0.00956658,0.0212402,
0.489227,128,0.00909963,0.00934098,0.00941178,0.0214844,
0.49089,128,0.0118922,0.00958484,0.00941474,0.0205078,
0.492326,124,0.0100801,0.0098312,0.00954593,0.0217285,
0.493769,129,0.0098312,0.00958484,0.00959928,0.0205078,
0.495264,128,0.0105853,0.00934098,0.00950551,0.0212402,
0.496658,127,0.0108417,0.00958484,0.00951167,0.0214844,
0.498058,130,0.0103314,0.0098312,0.0096466,0.0212402,
0.499421,122,0.0103314,0.0098312,0.0098035,0.0205078,
0.500864,128,0.0103314,0.00958484,0.00968307,0.017334,
0.502255,127,0.0098312,0.00958484,0.00963182,0.0187988,
0.503649,130,0.0100801,0.0098312,0.00971666,0.019043,
0.50505,124,0.0103314,0.0098312,0.00980998,0.0195312,
0.506412,128,0.00958484,0.00958484,0.0096855,0.0212402,
