time [s],current,servo1.encoder.angularVelocity,servo1.velocitySetpoint,
4.52,7831,8.54717e+06,0,
4.53,7686,8.59827e+06,0,
4.54,7729,8.69714e+06,0,
4.55,7733,8.74559e+06,0,
4.56,7908,8.87485e+06,0,
4.57,7744,8.86431e+06,0,
4.58,7959,8.82755e+06,0,
4.59,8088,8.91501e+06,0,
4.6,7792,8.74681e+06,0,
4.61,7874,8.76997e+06,0,
4.62,8234,8.78128e+06,0,
4.63,7873,8.60751e+06,0,
4.64,7952,8.70167e+06,0,
4.65,7787,8.64233e+06,0,
4.66,7819,8.61326e+06,0,
4.67,7886,8.73613e+06,0,
4.68,7737,8.69086e+06,0,
4.69,7643,8.63702e+06,0,
4.7,7897,8.89549e+06,0,
4.71,7643,8.87442e+06,0,
4.72,7627,8.80084e+06,0,
4.73,7710,8.94412e+06,0,
4.74,7846,9.04596e+06,0,
4.75,7846,9.09593e+06,0,
4.76,7851,9.12035e+06,0,
4.77,7893,9.0585e+06,0,
4.78,7929,9.02814e+06,0,
4.79,7819,8.87618e+06,0,
4.8,8088,9.01268e+06,0,
4.81,7823,8.93191e+06,0,
4.82,7839,8.82897e+06,0,
4.83,8158,8.88406e+06,0,
4.84,7796,8.83718e+06,0,
4.85,7638,8.91973e+06,0,
4.86,7803,8.9602e+06,0,
4.87,7724,8.97997e+06,0,
4.88,7772,9.06357e+06,0,
4.89,7702,9.1045e+06,0,
4.9,7783,9.12455e+06,0,
4.91,7760,9.16602e+06,0,
4.92,7820,9.22857e+06,0,
4.93,7828,9.18535e+06,0,
4.94,8014,9.31192e+06,0,
4.95,7933,9.22619e+06,0,
4.96,7839,9.18418e+06,0,
4.97,8068,9.16364e+06,0,
4.98,7979,9.15353e+06,0,
4.99,7948,9.14858e+06,0,
5,8010,9.04065e+06,0,
5.01,7823,8.98779e+06,0,
5.02,7807,9.0357e+06,0,
5.03,7642,9.09084e+06,0,
5.04,7733,9.08626e+06,0,
5.05,7740,9.26332e+06,0,
5.06,7638,9.30792e+06,0,
5.07,7665,9.29806e+06,0,
5.08,7761,9.39881e+06,0,
5.09,7661,9.47978e+06,0,
5.1,7843,9.4878e+06,0,
5.11,7800,9.52338e+06,0,
5.12,7814,9.43534e+06,0,
5.13,7839,9.36054e+06,0,
5.14,7984,9.42939e+06,0,
5.15,7998,9.28375e+06,0,
5.16,7792,9.21242e+06,0,
5.17,7972,9.25127e+06,0,
5.18,7783,9.27035e+06,0,
5.19,7920,9.20582e+06,0,
5.2,7733,9.27972e+06,0,
5.21,7733,9.28428e+06,0,
5.22,7775,9.39202e+06,0,
5.23,7623,9.47645e+06,0,
5.24,7834,9.48622e+06,0,
5.25,7725,9.49097e+06,0,
5.26,7867,9.67265e+06,0,
5.27,7858,9.5823e+06,0,
5.28,7885,9.53803e+06,0,
5.29,8079,9.59023e+06,0,
5.3,7976,9.43644e+06,0,
5.31,7941,9.43491e+06,0,
5.32,7792,9.49747e+06,0,
5.33,7904,9.39098e+06,0,
5.34,7851,9.44428e+06,0,
5.35,7878,9.39658e+06,0,
5.36,7776,9.44703e+06,0,
5.37,7800,9.50341e+06,0,
5.38,7708,9.42556e+06,0,
5.39,7646,9.56676e+06,0,
5.4,7769,9.60425e+06,0,
5.41,7838,9.65432e+06,0,
5.42,7710,9.64722e+06,0,
5.43,7820,9.64367e+06,0,
5.44,8042,9.74752e+06,0,
5.45,7826,9.79836e+06,0,
5.46,7925,9.64392e+06,0,
5.47,7885,9.64212e+06,0,
5.48,8037,9.67284e+06,0,
5.49,7904,9.58245e+06,0,
5.5,8022,9.56976e+06,0,
5.51,7755,9.53189e+06,0,
5.52,7886,9.54499e+06,0,
5.53,7796,9.59364e+06,0,
5.54,7792,9.54359e+06,0,
5.55,7654,9.6246e+06,0,
5.56,7768,9.73813e+06,0,
