time [s],current,servo1.currentSetpoint,setpwm,
1.72618,0,0,0,
1.72919,0,0,0,
1.73218,0,0,0,
1.73534,0,0,0,
1.73808,0,0,0,
1.74094,0,0,0,
1.744,0,0,0,
1.74703,0,0,0,
1.75065,0,0,0,
1.75402,0,0,0,
1.75686,0,0,0,
1.76035,0,0,0,
1.76377,0,0,0,
1.76673,0,0,0,
1.76952,0,0,0,
1.77299,0,0,0,
1.77637,0,0,0,
1.7793,0,0,0,
1.78218,0,0,0,
1.78504,0,0,0,
1.78773,0,0,0,
1.79182,0,0,0,
1.79492,0,0,0,
1.7979,0,0,0,
1.80104,0,0,0,
1.8042,0,0,0,
1.80718,0,0,0,
1.81035,0,0,0,
1.81306,0,0,0,
1.8163,0,0,0,
1.81929,0,0,0,
1.82224,0,0,0,
1.82529,0,0,0,
1.82877,0,0,0,
1.83206,0,0,0,
1.83486,0,0,0,
1.83818,0,0,0,
1.84143,0,0,0,
1.84473,0,0,0,
1.84794,0,0,0,
1.85107,0,0,0,
1.85421,0,0,0,
1.85729,0,0,0,
1.86048,0,0,0,
1.86337,0,0,0,
1.86618,0,0,0,
1.86967,0,0,0,
1.87272,0,0,0,
1.87553,0,0,0,
1.87847,0,0,0,
1.88159,0,0,0,
1.88523,0,0,0,
1.88806,0,0,0,
1.8909,0,0,0,
1.89382,0,0,0,
1.89731,0,0,0,
1.9002,0,0,0,
1.90335,0,0,0,
1.90619,0,0,0,
1.90936,0,0,0,
1.91238,0,0,0,
1.91564,0,0,0,
1.91875,0,0,0,
1.92187,0,0,0,
1.92505,0,0,0,
1.92774,0,0,0,
1.93073,0,0,0,
1.93372,0,0,0,
1.93689,0,0,0,
1.9402,0,0,0,
1.9433,0,0,0,
1.94609,0,0,0,
1.94909,0,0,0,
1.95222,0,0,0,
1.95492,0,0,0,
1.95835,0,0,0,
1.96196,0,0,0,
1.96525,0,0,0,
1.96871,0,0,0,
1.97155,0,0,0,
1.97441,0,0,0,
1.97824,0,0,0,
1.98121,0,0,0,
1.98419,0,0,0,
1.98694,0,0,0,
1.9904,0,0,0,
1.99357,0,0,0,
1.99692,0,0,0,
1.99984,0,0,0,
2.00303,0,0,0,
2.0062,0,0,0,
2.00903,0,0,0,
2.01203,0,0,0,
2.01519,0,0,0,
2.01804,0,0,0,
2.02094,0,0,0,
2.02419,0,0,0,
2.02719,0,0,0,
2.03037,0,0,0,
2.03321,0,0,0,
2.03623,0,0,0,
2.0391,0,0,0,
2.0422,0,0,0,
2.04493,0,0,0,
2.04869,0,0,0,
2.05184,0,0,0,
2.05532,0,0,0,
2.05835,0,0,0,
2.06138,0,0,0,
2.06435,0,0,0,
2.06741,0,0,0,
2.07106,0,0,0,
2.0746,0,0,0,
2.07785,0,0,0,
2.08104,0,0,0,
2.08419,0,0,0,
2.08704,0,0,0,
2.09007,0,0,0,
2.09289,0,0,0,
2.09708,0,0,0,
2.10055,0,0,0,
2.10398,0,0,0,
2.107,0,0,0,
2.10988,0,0,0,
2.11273,0,0,0,
2.11598,0,0,0,
2.11903,0,0,0,
2.12274,0,0,0,
2.12571,0,0,0,
2.12847,0,0,0,
2.13165,0,0,0,
2.13465,0,0,0,
2.13819,0,0,0,
2.14109,0,0,0,
2.14428,0,0,0,
2.14758,0,0,0,
2.15087,0,0,0,
2.15385,0,0,0,
2.15659,0,0,0,
2.15947,0,0,0,
2.16293,0,0,0,
2.16605,0,0,0,
2.1692,0,0,0,
2.1719,0,0,0,
2.17516,0,0,0,
2.17863,0,0,0,
2.18172,0,0,0,
2.18453,0,0,0,
2.18721,0,0,0,
2.19023,0,0,0,
2.19313,0,0,0,
2.19619,0,0,0,
2.19892,0,0,0,
2.20196,0,0,0,
2.20537,0,0,0,
2.20863,0,0,0,
2.21165,0,0,0,
2.21492,0,0,0,
2.21787,0,0,0,
2.2207,0,0,0,
2.22421,0,0,0,
2.22688,0,0,0,
2.23009,0,0,0,
2.23323,0,0,0,
2.23632,0,0,0,
2.23936,0,0,0,
2.24236,0,0,0,
2.24532,0,0,0,
2.24807,0,0,0,
2.25108,0,0,0,
2.25422,0,0,0,
2.25768,0,0,0,
2.26056,0,0,0,
2.26334,0,0,0,
2.26606,0,0,0,
2.26921,0,0,0,
2.27209,0,0,0,
2.27487,0,0,0,
2.27808,0,0,0,
2.28094,0,0,0,
2.28432,0,0,0,
2.28743,0,0,0,
2.29037,0,0,0,
2.29337,0,0,0,
2.29681,0,0,0,
2.29996,0,0,0,
2.30292,0,0,0,
2.30573,0,0,0,
2.30938,0,0,0,
2.31245,0,0,0,
2.3152,0,0,0,
2.31841,0,0,0,
2.32163,0,0,0,
2.32451,0,0,0,
2.32743,0,0,0,
2.33022,0,0,0,
2.33322,0,0,0,
2.33694,0,0,0,
2.33971,0,0,0,
2.34263,0,0,0,
2.34548,0,0,0,
2.34837,0,0,0,
2.35139,0,0,0,
2.35437,0,0,0,
2.35748,0,0,0,
2.36021,0,0,0,
2.3637,0,0,0,
2.36674,0,0,0,
2.36953,0,0,0,
2.37296,0,0,0,
2.37598,0,0,0,
2.37907,0,0,0,
2.38183,0,0,0,
2.3849,0,0,0,
2.38832,0,0,0,
2.39154,0,0,0,
2.39455,0,0,0,
2.39731,0,0,0,
2.40006,0,0,0,
2.4036,0,0,0,
2.4067,0,0,0,
2.40953,0,0,0,
2.41292,0,0,0,
2.41657,0,0,0,
2.41942,0,0,0,
2.42222,0,0,0,
2.42528,0,0,0,
2.42851,0,0,0,
2.43205,0,0,0,
2.43493,0,0,0,
2.43795,0,0,0,
2.44148,0,0,0,
2.44468,0,0,0,
2.44782,0,0,0,
2.45094,0,0,0,
2.45383,0,0,0,
2.45722,0,0,0,
2.46021,0,0,0,
2.46333,0,0,0,
2.4662,0,0,0,
2.46961,0,0,0,
2.47292,0,0,0,
2.47621,0,0,0,
2.47928,0,0,0,
2.48257,0,0,0,
2.48551,0,0,0,
2.48846,0,0,0,
2.49143,0,0,0,
2.49439,0,0,0,
2.49794,0,0,0,
2.50143,0,0,0,
2.5044,0,0,0,
2.50708,0,0,0,
2.5099,0,0,0,
2.51287,0,0,0,
2.51561,0,0,0,
2.51925,0,0,0,
2.52235,0,0,0,
2.52524,0,0,0,
2.52802,0,0,0,
2.53146,0,0,0,
2.53499,0,0,0,
2.53787,0,0,0,
2.54087,0,0,0,
2.54382,0,0,0,
2.54707,0,0,0,
2.55134,0,0,0,
2.55425,0,0,0,
2.55721,0,0,0,
2.56065,0,0,0,
2.56377,0,0,0,
2.567,0,0,0,
2.5699,0,0,0,
2.57271,0,0,0,
2.57623,0,0,0,
2.57921,0,0,0,
2.5821,0,0,0,
2.5851,0,0,0,
2.58831,0,0,0,
2.59174,0,0,0,
2.59523,0,0,0,
2.59854,0,0,0,
2.60147,0,0,0,
2.60432,0,0,0,
2.60713,0,0,0,
2.61021,0,0,0,
2.61321,0,0,0,
2.61702,0,0,0,
2.62032,0,0,0,
2.62353,0,0,0,
2.62624,0,0,0,
2.6295,0,0,0,
2.63238,0,0,0,
2.6354,0,0,0,
2.63853,0,0,0,
2.64159,0,0,0,
2.64441,0,0,0,
2.64722,0,0,0,
2.65003,0,0,0,
2.6539,0,0,0,
2.65714,0,0,0,
2.66029,0,0,0,
2.66339,0,0,0,
2.66623,0,0,0,
2.66966,0,0,0,
2.67257,0,0,0,
2.67549,0,0,0,
2.67823,0,0,0,
2.68144,0,0,0,
2.68473,0,0,0,
2.68777,0,0,0,
2.6909,0,0,0,
2.69365,0,0,0,
2.69674,0,0,0,
2.69955,0,0,0,
2.70303,0,0,0,
2.70588,0,0,0,
2.70891,0,0,0,
2.71223,0,0,0,
2.71539,0,0,0,
2.71854,0,0,0,
2.72174,0,0,0,
2.72455,0,0,0,
2.72723,0,0,0,
2.73008,0,0,0,
2.73325,0,0,0,
2.73734,0,0,0,
